"Variables ->","CPI","GDP_old","S","RS","D4L_CPI_TAR","GDP_RW","CPI_RW","RS_RW","GDP_05","GDP_MINE_05","GDP_10","GDP_MINE_10","GDP_15","GDP_MINE_15","GDP","GDP_MINE","GDP_OTH","CPI_seas","CPI_RW_seas","GDP_seas","GDP_05_seas","GDP_10_seas","GDP_15_seas","GDP_MINE_seas","GDP_MINE_05_seas","GDP_MINE_10_seas","GDP_MINE_15_seas","GDP_OTH_seas","GDP_RW_seas","GDP_old_seas","S_seas","L_CPI","L_CPI_RW","L_GDP","L_GDP_05","L_GDP_10","L_GDP_15","L_GDP_MINE","L_GDP_MINE_05","L_GDP_MINE_10","L_GDP_MINE_15","L_GDP_OTH","L_GDP_RW","L_GDP_old","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_GDP","DLA_GDP_05","DLA_GDP_10","DLA_GDP_15","DLA_GDP_MINE","DLA_GDP_MINE_05","DLA_GDP_MINE_10","DLA_GDP_MINE_15","DLA_GDP_OTH","DLA_GDP_RW","DLA_GDP_old","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_GDP","D4L_GDP_05","D4L_GDP_10","D4L_GDP_15","D4L_GDP_MINE","D4L_GDP_MINE_05","D4L_GDP_MINE_10","D4L_GDP_MINE_15","D4L_GDP_OTH","D4L_GDP_RW","D4L_GDP_old","D4L_S","D4L_Z","RR","RR_RW","L_GDP_BAR","L_GDP_GAP","L_GDP_MINE_BAR","L_GDP_MINE_GAP","L_GDP_OTH_BAR","L_GDP_OTH_GAP","RR_BAR","RR_GAP","RR_RW_BAR","RR_RW_GAP","L_GDP_RW_BAR","L_GDP_RW_GAP","L_Z_BAR","L_Z_GAP","DLA_GDP_BAR","DLA_Z_BAR"
"Comments ->","Headline CPI (index) Source: Mongolbank","Real GDP (in constant prices,base=2015) Source: NSO","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","Nominal Policy Interest Rate (% pa) Source: Mongolbank","Inflation Target (% pa) Source: Mongolbank","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","China 1 year benchmark lending rate (% pa) Source: Bloomberg CHLR12M: https://tradingeconomics.com/china/lending-rate#:~:text=Lending%20Rate%20in%20China%20remained,source%3A%20People's%20Bank%20of%20China","ДНБ","Уул уурхай,олборлолт","ДНБ","Уул уурхай,олборлолт","ДНБ","Уул уурхай,олборлолт","ДНБ","Уул уурхай,олборлолт","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Real GDP (in constant prices,base=2015) Source: NSO","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Real GDP (in constant prices,base=2015) Source: NSO","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Real GDP (in constant prices,base=2015) Source: NSO","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Real GDP (in constant prices,base=2015) Source: NSO","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","","","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","","","","","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01https://data.stats.gov.cn/english/easyquery.htm?cn=B01","","","ДНБ",""
"Class[Size] ->","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]"
"2000Q1",1.96600000e+01,1.31151550e+06,1.08725333e+03,1.12000000e+01,1.50000000e+01,NaN,7.12191500e+01,5.85000000e+00,3.70561100e+05,8.19034000e+04,NaN,NaN,NaN,NaN,1.24968823e+06,2.43356540e+05,1.00633169e+06,1.97115950e+01,7.04768494e+01,1.70114883e+06,5.00865814e+05,NaN,NaN,3.17818263e+05,1.07038271e+05,NaN,NaN,1.37130803e+06,NaN,1.77271779e+06,1.08364871e+03,2.98120704e+02,4.25528428e+02,1.43468144e+03,1.31240935e+03,NaN,NaN,1.26692350e+03,1.15809417e+03,NaN,NaN,1.41312756e+03,NaN,1.43880244e+03,6.98808906e+02,8.26216630e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43901148e+03,-4.33004547e+00,1.26361294e+03,3.31056346e+00,1.41983019e+03,-6.70263345e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",2.23000000e+01,2.14932104e+06,1.04596000e+03,1.56000000e+01,1.50000000e+01,NaN,6.99514771e+01,5.85000000e+00,6.07278200e+05,1.04104300e+05,NaN,NaN,NaN,NaN,2.04799807e+06,3.09321250e+05,1.73867682e+06,2.12508936e+01,7.00480697e+01,1.85683166e+06,5.50171608e+05,NaN,NaN,3.10858917e+05,1.05275650e+05,NaN,NaN,1.54795668e+06,NaN,1.94720062e+06,1.05299389e+03,3.05639895e+02,4.24918172e+02,1.44343822e+03,1.32179855e+03,NaN,NaN,1.26470944e+03,1.15643374e+03,NaN,NaN,1.42524463e+03,NaN,1.44819033e+03,6.95939271e+02,8.15217548e+02,3.00767616e+01,-2.44102478e+00,3.50271300e+01,3.75568056e+01,NaN,NaN,-8.85622089e+00,-6.64172049e+00,NaN,NaN,4.84682935e+01,NaN,3.75515667e+01,-1.14785392e+01,-4.39963255e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.44055060e+03,2.88762365e+00,1.26490512e+03,-1.95674933e-01,1.42143321e+03,3.81142688e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15645347e+00,NaN
"2000Q3",1.98500000e+01,2.14416787e+06,1.07820000e+03,1.09000000e+01,1.50000000e+01,NaN,6.97113534e+01,5.85000000e+00,6.05822200e+05,1.32635500e+05,NaN,NaN,NaN,NaN,2.04308782e+06,3.94094950e+05,1.64899287e+06,2.04840430e+01,7.03946351e+01,1.91186242e+06,5.68074806e+05,NaN,NaN,3.32113280e+05,1.11647621e+05,NaN,NaN,1.58535128e+06,NaN,2.01059351e+06,1.07783260e+03,3.01964619e+02,4.25411705e+02,1.44635884e+03,1.32500084e+03,NaN,NaN,1.27132314e+03,1.16231029e+03,NaN,NaN,1.42763166e+03,NaN,1.45139405e+03,6.98270745e+02,8.21717832e+02,-1.47011021e+01,1.97413493e+00,1.16824914e+01,1.28091471e+01,NaN,NaN,2.64547795e+01,2.35062080e+01,NaN,NaN,9.54809021e+00,NaN,1.28148781e+01,9.32589725e+00,2.60011342e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.44208700e+03,4.27183941e+00,1.26619937e+03,5.12376767e+00,1.42303203e+03,4.59962553e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14562835e+00,NaN
"2000Q4",2.00400000e+01,2.25815570e+06,1.09445000e+03,8.60000000e+00,1.50000000e+01,NaN,7.09437208e+01,5.85000000e+00,6.38028800e+05,1.14466700e+05,NaN,NaN,NaN,NaN,2.15170205e+06,3.40110660e+05,1.81159139e+06,2.03566255e+01,7.09022592e+01,1.97129768e+06,5.85811243e+05,NaN,NaN,3.23226676e+05,1.08258925e+05,NaN,NaN,1.64375656e+06,NaN,2.07329989e+06,1.09116589e+03,3.01340644e+02,4.26130230e+02,1.44942026e+03,1.32807529e+03,NaN,NaN,1.26861091e+03,1.15922811e+03,NaN,NaN,1.43124948e+03,NaN,1.45446520e+03,6.99500203e+02,8.24289788e+02,-2.49590084e+00,2.87409747e+00,1.22456763e+01,1.22978062e+01,NaN,NaN,-1.08489027e+01,-1.23287426e+01,NaN,NaN,1.44712775e+01,NaN,1.22846121e+01,4.91782805e+00,1.02878264e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.44361980e+03,5.80045920e+00,1.26749764e+03,1.11327383e+00,1.42462486e+03,6.62461716e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.13119718e+00,NaN
"2001Q1",2.18400000e+01,1.42383314e+06,1.09825333e+03,1.12000000e+01,1.50000000e+01,NaN,7.16918600e+01,5.85000000e+00,4.02295800e+05,7.94080000e+04,NaN,NaN,NaN,NaN,1.35671101e+06,2.35942050e+05,1.12076896e+06,2.18903506e+01,7.09533693e+01,1.83726890e+06,5.43325678e+05,NaN,NaN,3.09264436e+05,1.04239517e+05,NaN,NaN,1.52498448e+06,NaN,1.92302949e+06,1.09447528e+03,3.08604593e+02,4.26202289e+02,1.44237907e+03,1.32054642e+03,NaN,NaN,1.26419520e+03,1.15544466e+03,NaN,NaN,1.42374948e+03,NaN,1.44694124e+03,6.99803033e+02,8.17400729e+02,2.90557965e+01,2.88237220e-01,-2.81647500e+01,-3.01154847e+01,NaN,NaN,-1.76628680e+01,-1.51338023e+01,NaN,NaN,-2.99999901e+01,NaN,-3.00958738e+01,1.21132312e+00,-2.75562361e+01,1.04838888e+01,6.73861210e-01,7.69763693e+00,8.13706857e+00,NaN,NaN,-2.72830300e+00,-2.64951433e+00,NaN,NaN,1.06219178e+01,NaN,8.13879576e+00,9.94127312e-01,-8.81590027e+00,7.16111207e-01,5.17613879e+00,1.44515076e+03,-2.77168818e+00,1.26880507e+03,-4.60987641e+00,1.42621276e+03,-2.46327973e+00,8.21895081e+00,-7.50283961e+00,5.61653260e+00,-4.40393807e-01,NaN,NaN,NaN,NaN,6.12383956e+00,NaN
"2001Q2",2.25500000e+01,2.17470362e+06,1.09387333e+03,1.24900000e+01,1.50000000e+01,NaN,7.10477837e+01,5.85000000e+00,6.14449900e+05,1.11494300e+05,NaN,NaN,NaN,NaN,2.07218406e+06,3.31278880e+05,1.74090518e+06,2.15375615e+01,7.11412854e+01,1.87899887e+06,5.55950608e+05,NaN,NaN,3.29965452e+05,1.11550613e+05,NaN,NaN,1.55004895e+06,NaN,1.96763741e+06,1.10153612e+03,3.06979846e+02,4.26466783e+02,1.44462497e+03,1.32284347e+03,NaN,NaN,1.27067432e+03,1.16222337e+03,NaN,NaN,1.42537971e+03,NaN,1.44923441e+03,7.00446096e+02,8.19933033e+02,-6.49898817e+00,1.05797765e+00,8.98357788e+00,9.18821594e+00,NaN,NaN,2.59165071e+01,2.71148437e+01,NaN,NaN,6.52091193e+00,NaN,9.17269463e+00,2.57224928e+00,1.01292151e+01,1.33995135e+00,1.54861182e+00,1.18674891e+00,1.04492115e+00,NaN,NaN,5.96487899e+00,5.78962671e+00,NaN,NaN,1.35072387e-01,NaN,1.04407775e+00,4.50682442e+00,4.71548488e+00,1.11500486e+01,4.30138818e+00,1.44668528e+03,-2.06030787e+00,1.27012752e+03,5.46807087e-01,1.42780094e+03,-2.42123087e+00,7.87044329e+00,3.27960536e+00,5.47020096e+00,-1.16881278e+00,NaN,NaN,NaN,NaN,6.13805663e+00,NaN
"2001Q3",2.08900000e+01,2.20389658e+06,1.09820000e+03,9.90000000e+00,1.50000000e+01,NaN,7.02638999e+01,5.85000000e+00,6.22698200e+05,1.51174400e+05,NaN,NaN,NaN,NaN,2.10000081e+06,4.49178890e+05,1.65082192e+06,2.15019120e+01,7.09336419e+01,1.96841532e+06,5.84498336e+05,NaN,NaN,3.79285070e+05,1.27384491e+05,NaN,NaN,1.58914191e+06,NaN,2.06870455e+06,1.09778182e+03,3.06814186e+02,4.26174482e+02,1.44927394e+03,1.32785092e+03,NaN,NaN,1.28460434e+03,1.17549653e+03,NaN,NaN,1.42787047e+03,NaN,1.45424331e+03,7.00104689e+02,8.19464985e+02,-6.62638422e-01,-1.16920658e+00,1.85958776e+01,2.00297911e+01,NaN,NaN,5.57200519e+01,5.30926349e+01,NaN,NaN,9.96307134e+00,NaN,2.00356208e+01,-1.36562496e+00,-1.87219311e+00,4.84956726e+00,7.62776440e-01,2.91509547e+00,2.85008216e+00,NaN,NaN,1.32811971e+01,1.31862334e+01,NaN,NaN,2.38817669e-01,NaN,2.84926343e+00,1.83394387e+00,-2.25284695e+00,5.05043274e+00,5.08722356e+00,1.44822701e+03,1.04693175e+00,1.27146793e+03,1.31364030e+01,1.42939307e+03,-1.52259052e+00,7.51724649e+00,-2.46681375e+00,5.32359408e+00,-2.36370522e-01,NaN,NaN,NaN,NaN,6.16691917e+00,NaN
"2001Q4",2.15900000e+01,2.29290283e+06,1.10028667e+03,8.61000000e+00,1.50000000e+01,NaN,7.08488536e+01,5.85000000e+00,6.47846400e+05,1.27698800e+05,NaN,NaN,NaN,NaN,2.18481114e+06,3.79426710e+05,1.80538443e+06,2.19195960e+01,7.08258015e+01,2.00746396e+06,5.95713982e+05,NaN,NaN,3.63893794e+05,1.22225312e+05,NaN,NaN,1.63657907e+06,NaN,2.10834047e+06,1.09667069e+03,3.08738103e+02,4.26022336e+02,1.45123828e+03,1.32975159e+03,NaN,NaN,1.28046173e+03,1.17136214e+03,NaN,NaN,1.43081187e+03,NaN,1.45614117e+03,7.00003422e+02,8.17287655e+02,7.69566756e+00,-6.08582670e-01,7.85736082e+00,7.60268876e+00,NaN,NaN,-1.65704145e+01,-1.65375358e+01,NaN,NaN,1.17655770e+01,NaN,7.59141598e+00,-4.05068526e-01,-8.70931876e+00,7.39745936e+00,-1.07893595e-01,1.81801659e+00,1.67630279e+00,NaN,NaN,1.18508191e+01,1.21340351e+01,NaN,NaN,-4.37607470e-01,NaN,1.67596441e+00,5.03219729e-01,-7.00213323e+00,1.21254064e+00,5.95789360e+00,1.44977832e+03,1.45995285e+00,1.27282963e+03,7.63210293e+00,1.43099130e+03,-1.79427441e-01,7.15672089e+00,-5.94418025e+00,5.17570620e+00,7.82187394e-01,NaN,NaN,NaN,NaN,6.20527641e+00,NaN
